observation_count,country,country_code,state,state_code,latitude,longitude,observation_date,year
2,Argentina,AR,Buenos Aires,AR-B,-37.8456809,-57.5048215,1992-11-27,1992
2,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1992-11-21,1992
1,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,1992-12-06,1992
2,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1992-12-25,1992
15,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-01-16,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-05-16,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-05-23,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-05-30,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-06-13,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-06-06,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-06-27,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-07-10,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-08-28,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-08-15,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-09-12,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-10-24,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-10-11,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-11-14,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-11-07,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-11-28,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-12-05,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1993-12-12,1993
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1994-01-01,1994
0,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,1994-03-27,1994
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1994-03-20,1994
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1994-04-10,1994
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1994-11-13,1994
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1995-10-29,1995
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1995-10-16,1995
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1995-10-22,1995
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1995-11-11,1995
0,Argentina,AR,Buenos Aires,AR-B,-37.7489328,-57.4569082,1995-11-10,1995
2,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1995-12-25,1995
2,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1995-12-17,1995
3,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1996-01-28,1996
1,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1996-02-17,1996
4,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1996-02-04,1996
16,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1996-03-09,1996
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1996-04-28,1996
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1996-04-30,1996
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1996-04-21,1996
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1996-06-23,1996
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1996-07-14,1996
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1996-08-17,1996
60,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1996-08-08,1996
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1996-09-01,1996
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1996-09-08,1996
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1996-09-29,1996
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1996-09-15,1996
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1996-09-22,1996
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,1996-09-27,1996
1,Argentina,AR,Buenos Aires,AR-B,-37.8456809,-57.5048215,1996-09-08,1996
50,Argentina,AR,Buenos Aires,AR-B,-37.8456809,-57.5048215,2000-05-13,2000
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2004-08-01,2004
1,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2005-02-03,2005
0,Argentina,AR,Buenos Aires,AR-B,-37.7468137,-57.4289938,2005-10-31,2005
12,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2007-05-14,2007
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2007-05-25,2007
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2007-06-02,2007
0,Argentina,AR,Buenos Aires,AR-B,-37.6133333,-57.3281667,2008-10-04,2008
0,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2009-01-03,2009
4,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2009-07-19,2009
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2010-07-17,2010
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2010-08-14,2010
0,Argentina,AR,Buenos Aires,AR-B,-37.6155912,-57.4231768,2010-08-22,2010
20,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2010-09-26,2010
0,Argentina,AR,Buenos Aires,AR-B,-37.6155912,-57.4231768,2010-09-12,2010
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2010-10-03,2010
0,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2011-02-07,2011
0,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2011-11-21,2011
0,Argentina,AR,Buenos Aires,AR-B,-37.6133333,-57.3281667,2012-05-25,2012
0,Argentina,AR,Buenos Aires,AR-B,-37.7218492,-57.4214172,2013-06-22,2013
2,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2013-09-09,2013
0,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2014-02-22,2014
0,Argentina,AR,Buenos Aires,AR-B,-37.6133333,-57.3281667,2014-02-22,2014
0,Argentina,AR,Buenos Aires,AR-B,-37.6133333,-57.3281667,2014-03-17,2014
0,Argentina,AR,Buenos Aires,AR-B,-37.7729536,-57.4581099,2014-06-01,2014
0,Argentina,AR,Buenos Aires,AR-B,-37.6133333,-57.3281667,2015-01-25,2015
0,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2015-01-23,2015
40,Argentina,AR,Buenos Aires,AR-B,-37.8456809,-57.5048215,2015-02-06,2015
0,Argentina,AR,Buenos Aires,AR-B,-37.7635227,-57.4520159,2015-03-16,2015
2,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2015-03-14,2015
6,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2015-05-09,2015
0,Argentina,AR,Buenos Aires,AR-B,-37.6133333,-57.3281667,2015-10-17,2015
70,Argentina,AR,Buenos Aires,AR-B,-37.8456809,-57.5048215,2016-02-15,2016
3,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2016-05-14,2016
41,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2016-08-16,2016
2,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2016-09-24,2016
54,Argentina,AR,Buenos Aires,AR-B,-37.7728406,-57.4556637,2016-09-11,2016
1,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2017-01-25,2017
2,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2017-01-05,2017
7,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2017-05-13,2017
4,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2017-06-14,2017
7,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2017-06-07,2017
37,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2017-06-20,2017
4,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2017-07-27,2017
14,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2017-07-04,2017
17,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2017-08-06,2017
7,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2017-08-27,2017
2,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2017-09-23,2017
7,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2017-09-12,2017
12,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2017-09-14,2017
6,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2017-09-24,2017
5,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2017-09-29,2017
3,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2017-10-28,2017
1,Argentina,AR,Buenos Aires,AR-B,-37.7725635,-57.455889,2017-10-20,2017
2,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2017-10-15,2017
4,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2017-10-06,2017
1,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2017-10-26,2017
